1H	2H	3H	4H	5H	1V	2V	3V	4V	5V	Modifications	Chromosome	Student's T-test Significant Avastin_Control	Student's T-test significant	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# Razor Peptides	# Peptides Sequest HT	Student's T-test p-value Avastin_Control	Student's T-test Difference Avastin_Control	Student's T-test Test statistic Avastin_Control	Entrez Gene ID	Ensembl Gene ID	Gene ID	Description	Accession
#!{Type}E	E	E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	N	N	N	T	T	T	T	T
#!{C:Group1_}Avastin	Avastin	Avastin	Avastin	Avastin	Control	Control	Control	Control	Control																		
5,61504	7,788534	6,833506	6,939573	8,695529	4,075381	4,326423	3,855196	3,579936	3,769269		2	+	Avastin_Control	5	34	5	1	0	5	0,00386595975584498	-3,25319542884827	-6,00700797837982	3514		IGKC	Ig kappa chain C region [OS=Homo sapiens]	P01834
5,500539	7,780188	6,837765	6,939545	8,689728	4,246728	4,427746	3,835647	3,818131	3,859866		14;CHR_HSCHR14_3_CTG1	+	Avastin_Control	10	73	6	1	3	10	0,00543542363183525	-3,11192927360535	-5,46968091320167	3500	ENSG00000277633.5;ENSG00000211896.7	IGHG1	Ig gamma-1 chain C region [OS=Homo sapiens]	P01857
3,834407	4,480754	4,104093	6,601662	9,557846	4,676838	4,737309	3,619011	3,705416	4,107961		12			23	124	3	1	0	23	0,255050458793971	-1,54644508361816	-1,32746128112143	3854	ENSG00000185479.5	KRT6B	keratin, type II cytoskeletal 6B [OS=Homo sapiens]	P04259
4,135871	4,53506	4,440159	5,642476	9,576078	4,652176	5,082906	4,256192	4,505613	4,501436		17			11	39	6	1	0	11	0,366428319381695	-1,06626443862915	-1,01755936742319	3872	ENSG00000128422.15	KRT17	Keratin, type I cytoskeletal 17 [OS=Homo sapiens]	Q04695
4,518086	5,119292	4,911652	5,931907	9,484578	4,696158	5,188909	4,360721	4,509378	4,832384		12			24	133	4	1	20	24	0,22542377233554	-1,27559309005737	-1,43194540072114	3853	ENSG00000205420.10	KRT6A	Keratin, type II cytoskeletal 6A [OS=Homo sapiens]	P02538
4,550778	5,097772	4,857672	6,027262	9,465549	4,872526	5,189299	4,433485	4,640895	4,837061		17			18	79	9	1	6	18	0,253719134370241	-1,20515308380127	-1,33189372646912	3868	ENSG00000186832.8	KRT16	Keratin, type I cytoskeletal 16 [OS=Homo sapiens]	P08779
4,745325	4,821062	4,97948	5,498618	9,457127	4,785383	5,254615	4,557392	4,612724	4,772868		17			17	66	6	1	1	17	0,297387086370638	-1,10372581481934	-1,19702624667994	3861	ENSG00000186847.5	KRT14	Keratin, type I cytoskeletal 14 [OS=Homo sapiens]	P02533
5,074645	6,685792	5,677896	5,452675	9,212975	4,817523	5,371172	4,064616	5,023494	5,792946		17			21	118	17	1	4	21	0,0674457532584204	-1,40684623718262	-2,49053562114591	3858	ENSG00000186395.7	KRT10	Keratin, type I cytoskeletal 10 [OS=Homo sapiens]	P13645
4,981087	5,61618	5,402759	5,700013	9,334246	5,053694	5,362078	4,850653	4,85273	5,502461		12			18	85	10	1	0	18	0,199006102228202	-1,08253374099731	-1,53742607235068	3852	ENSG00000186081.11	KRT5	keratin, type II cytoskeletal 5 [OS=Homo sapiens]	P13647
4,927933	4,86989	5,189386	5,169814	9,420482	5,224048	5,495442	5,005823	5,006201	5,152159		18			9	24	4	1	3	9	0,455620476619112	-0,738766384124756	-0,825214155714627	6318	ENSG00000206073.10	SERPINB4	Serpin B4 [OS=Homo sapiens]	P48594
5,193772	5,475733	4,69488	5,173927	9,387587	5,209454	5,536053	5,048759	5,083213	5,201634		19;CHR_HG26_PATCH			2	3	2	1	0	2	0,420238453558018	-0,769357013702393	-0,897396469200851	3963;653499	ENSG00000282902.1;ENSG00000283082.1;ENSG00000205076.4;ENSG00000178934.4	LGALS7;LGALS7B	galectin-7 [OS=Homo sapiens]	P47929
4,759651	4,965443	5,004984	4,782189	9,391542	4,97546	5,63245	4,583082	5,000282	5,265203		18			8	19	3	1	0	8	0,475519597932736	-0,68946647644043	-0,786565952334845	6317	ENSG00000057149.15	SERPINB3	Serpin B3 [OS=Homo sapiens]	P29508
4,818385	5,103434	4,947568	4,976967	9,372099	5,243418	5,459432	4,774411	4,965036	5,201474		1			8	83	5	1	0	8	0,457891178604111	-0,714936351776123	-0,820737697940907	2810	ENSG00000175793.11	SFN	14-3-3 protein sigma [OS=Homo sapiens]	P31947-1
5,339828	6,040439	5,449104	6,35418	9,040829	5,45794	5,800272	5,246788	5,164158	5,517537		1			3	7	3	1	0	3	0,204781574214277	-1,00753688812256	-1,51319985555421	6279	ENSG00000143546.9	S100A8	Protein S100-A8 [OS=Homo sapiens]	P05109
7,525805	6,453918	6,196717	8,300369	5,975322	5,827819	5,376542	6,627542	5,152825	5,420704		18			5	20	5	1	0	5	0,112826783762865	-1,20933990478516	-2,0252056989604	397192		VTN	Vitronectin [OS=Sus scrofa]	P48819
6,07003	7,469079	6,340718	5,229808	8,432116	5,338543	6,068931	4,412559	5,857206	6,705967		12			21	84	15	1	0	21	0,0891829648726333	-1,03170890808105	-2,23431196556628	3849	ENSG00000172867.3	KRT2	Keratin, type II cytoskeletal 2 epidermal [OS=Homo sapiens]	P35908
5,087962	5,631517	5,257702	5,611781	9,023729	5,720061	5,872852	6,039542	5,151662	5,810953		12			8	289	2	1	0	8	0,611950108130036	-0,403524398803711	-0,54941850388373	2597	ENSG00000111640.14	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [OS=Homo sapiens]	P04406-1
7,530074	6,497373	7,099998	5,985619	7,77682	6,069927	6,087449	6,325311	5,30747	5,636624		6	+	Avastin_Control	4	11	4	1	0	4	0,0253493596773473	-1,09262075424194	-3,48011409663106	397419	ENSSSCG00000023686.1	TTR	Transthyretin [OS=Sus scrofa]	P50390
6,542547	7,420574	6,772868	6,994381	7,572184	6,201101	5,889367	6,157139	5,437952	5,791247		14	+	Avastin_Control	6	26	2	1	0	6	0,0153403127346905	-1,16514959335327	-4,06066463821036	3502		IGHG3	Ig gamma-3 chain C region [OS=Homo sapiens]	P01860
5,905787	6,286599	6,085044	6,271303	8,644382	6,144916	5,957233	5,87721	5,806619	6,04061		6			5	7	5	1	0	5	0,246865662168666	-0,673305702209473	-1,3550776251228	1832	ENSG00000096696.13	DSP	Desmoplakin [OS=Homo sapiens]	P15924-1
5,530348	6,981579	6,107369	6,244064	8,47673	5,448049	5,774832	5,015437	5,599716	7,198199		12	+	Avastin_Control	23	138	19	1	4	23	0,0183261379500709	-0,860771369934082	-3,84849357299175	3848	ENSG00000167768.4	KRT1	Keratin, type II cytoskeletal 1 [OS=Homo sapiens]	P04264
8,271463	5,797013	5,820179	7,235536	6,193772	6,296457	5,778734	6,57289	6,108524	5,835419		6;CHR_HSCHR6_MHC_COX_CTG1;CHR_HSCHR6_MHC_QBL_CTG1			2	2	2	1	0	2	0,308758930931824	-0,545187664031982	-1,1649973576049	3117	ENSG00000206305.12;ENSG00000257473.7	HLA-DQA1	HLA class II histocompatibility antigen, DQ alpha 1 chain [OS=Homo sapiens]	P01909
6,231803	6,009265	5,861937	5,810007	8,50774	6,124897	6,162584	6,073755	6,270706	6,18198		10			2	4	2	1	0	2	0,562196837642654	-0,321366024017334	-0,63117218591463	51806	ENSG00000178372.7	CALML5	Calmodulin-like protein 5 [OS=Homo sapiens]	Q9NZT1
7,045859	5,571277	5,889367	6,36243	8,256475	6,536854	5,881269	6,777825	5,727417	5,853552		8			5	12	5	1	0	5	0,447020630450035	-0,469697952270508	-0,842330419840876	2171	ENSG00000164687.10	FABP5	Fatty acid-binding protein, epidermal [OS=Homo sapiens]	Q01469
6,240087	6,075403	6,269325	6,236967	8,217078	6,212768	6,463074	6,325151	5,961988	6,037174		1			2	3	2	1	0	2	0,421349636565101	-0,407740879058838	-0,895055445838361	6280	ENSG00000163220.10	S100A9	Protein S100-A9 [OS=Homo sapiens]	P06702
8,018983	5,61103	5,941795	7,33673	6,397635	6,472405	6,174872	6,53449	6,123958	5,842149		7			3	3	3	1	0	3	0,3841481662651	-0,431659603118897	-0,976410913381902	100037921		SLA-DQB1	SLA class II histocompatibility antigen, DQ haplotype C beta chain [OS=Sus scrofa]	P15982
7,273515	6,427333	6,149426	7,458275	6,763279	6,548337	5,885053	6,822004	5,755377	6,386822		1			14	30	13	1	1	14	0,231741309473036	-0,534846878051758	-1,40856792579516	733660		PLG	Plasminogen [OS=Sus scrofa]	P06867
6,985527	6,544553	6,151572	6,930271	7,484559	6,533588	6,309156	6,657495	5,795546	6,307263		14			14	102	14	1	0	14	0,185111246269923	-0,498686790466309	-1,59879717340988	397025		CLU	Clusterin [OS=Sus scrofa]	Q29549
6,211337	6,492854	6,697954	6,024836	7,981174	6,357831	6,430902	6,658014	5,964551	6,332895		11			2	3	2	1	0	2	0,371815465188696	-0,332792282104492	-1,00486947550508	2950	ENSG00000084207.15	GSTP1	Glutathione S-transferase P [OS=Homo sapiens]	P09211
6,660084	6,221057	7,174436	7,615869	5,890838	6,024839	6,187574	6,518058	6,832226	6,293714		13			2	4	2	1	0	2	0,207148774305548	-0,341174507141113	-1,50347083398225	396871		NPG4	Prophenin-2 [OS=Sus scrofa]	P51525
6,643553	6,391499	7,220668	6,408571	7,247779	6,040838	6,318153	5,883095	7,142724	6,341208		7			2	5	2	1	0	2	0,289010017324912	-0,437210369110107	-1,22136408050094	6742	ENSG00000106028.10	SSBP1	Single-stranded DNA-binding protein, mitochondrial [OS=Homo sapiens]	Q04837
6,763809	6,823201	6,027848	7,366714	6,78846	6,417589	6,582493	6,821506	5,973669	6,163782		6			8	16	8	1	0	8	0,362028923746353	-0,362198543548584	-1,02804454160917	397576		APOE	Apolipoprotein E [OS=Sus scrofa]	P18650
7,893249	5,908704	6,271365	6,752881	6,264013	6,617469	6,062855	7,087266	6,085324	6,097477		16			5	12	4	1	0	5	0,556480259099963	-0,227964210510254	-0,640869976081743	11151	ENSG00000102879.15	CORO1A	Coronin-1A [OS=Homo sapiens]	P31146
6,78136	7,008989	6,427941	6,869131	6,89845	6,407693	6,830357	6,580447	5,89724	6,407693		11			2	2	2	1	0	2	0,114726052638273	-0,372488307952881	-2,01055692793615	8525	ENSG00000149091.15	DGKZ	Diacylglycerol kinase zeta [OS=Homo sapiens]	Q13574
7,331793	6,54235	6,684683	6,94156	5,875018	6,647655	6,296363	6,412395	6,075499	6,631897		1			2	4	2	1	0	2	0,403716432178476	-0,262319278717041	-0,932827491776163	100157985		LOC100157985;RNASET2	Ribonuclease T2 [OS=Sus scrofa]	Q7M329
6,868787	6,76261	7,003773	6,706093	6,669476	6,496461	6,506996	6,156654	6,677367	6,403502		21			3	10	3	1	0	3	0,059178902202572	-0,353951835632324	-2,61387029469015	7307;102724594	ENSG00000160201.11;ENSG00000275895.5	U2AF1;LOC102724594;U2AF1L5	Splicing factor U2AF 35 kDa subunit [OS=Homo sapiens]	Q01081
6,881715	6,882601	6,70993	6,303939	7,118937	6,719955	6,477059	6,178584	5,690458	6,934963		5	+	Avastin_Control	2	4	2	1	0	2	0,0138486439698937	-0,379220771789551	-4,18622022012501	79646	ENSG00000120137.6	PANK3	Pantothenate kinase 3 [OS=Homo sapiens]	Q9H999
7,453682	6,08534	6,390599	7,059615	6,61471	6,472488	6,366322	6,861707	5,872828	6,574404		5			2	2	2	1	0	2	0,434182930056129	-0,291239070892334	-0,868380104457704	8572	ENSG00000131435.12	PDLIM4	PDZ and LIM domain protein 4 [OS=Homo sapiens]	P50479-1
7,882132	5,697604	6,414574	6,749459	5,837723	6,477345	6,237279	7,385337	5,595375	5,758308		6			2	4	2	1	0	2	0,651745203928676	-0,225569343566895	-0,486992977219775	2162		F13A1	Coagulation factor XIII A chain [OS=Homo sapiens]	P00488
7,015134	6,694708	7,111295	6,751462	6,299659	6,220102	6,14828	7,204827	6,29231	6,133024		4			2	3	2	1	0	2	0,0720183356749918	-0,374742698669434	-2,42951941410262	399533		FABP4	Fatty acid-binding protein, adipocyte [OS=Sus scrofa]	O97788
